id,leftFileId,leftFilePath,rightFileId,rightFilePath,similarity,totalOverlap,longestFragment,leftCovered,rightCovered
4266,24,baselines_work/cohorte/csharp/CODE_ESTRU_CS_010/CODE_ESTRU_CS_010.cs,63,baselines_work/cohorte/csharp/CODE_IDENT_CS_012/CODE_IDENT_CS_012.cs,0.061224489795918366,6,3,3,3
4267,24,baselines_work/cohorte/csharp/CODE_ESTRU_CS_010/CODE_ESTRU_CS_010.cs,67,baselines_work/cohorte/csharp/CODE_IDENT_CS_012_COPY/CODE_IDENT_CS_012.cs,0.061224489795918366,6,3,3,3
4297,25,baselines_work/cohorte/csharp/CODE_ESTRU_CS_011/CODE_ESTRU_CS_011.cs,51,baselines_work/cohorte/csharp/CODE_IDENT_CS_003/CODE_IDENT_CS_003.cs,0.05504587155963303,6,1,4,2
4298,25,baselines_work/cohorte/csharp/CODE_ESTRU_CS_011/CODE_ESTRU_CS_011.cs,49,baselines_work/cohorte/csharp/CODE_IDENT_CS_003_COPY/CODE_IDENT_CS_003.cs,0.05504587155963303,6,1,4,2
4359,27,baselines_work/cohorte/csharp/CODE_ESTRU_CS_012/CODE_ESTRU_CS_012.cs,64,baselines_work/cohorte/csharp/CODE_IDENT_CS_010/CODE_IDENT_CS_010.cs,0.05454545454545454,6,3,3,3
4360,27,baselines_work/cohorte/csharp/CODE_ESTRU_CS_012/CODE_ESTRU_CS_012.cs,59,baselines_work/cohorte/csharp/CODE_IDENT_CS_010_COPY/CODE_IDENT_CS_010.cs,0.05454545454545454,6,3,3,3
4392,32,baselines_work/cohorte/csharp/CODE_ESTRU_CS_013/CODE_ESTRU_CS_013.cs,51,baselines_work/cohorte/csharp/CODE_IDENT_CS_003/CODE_IDENT_CS_003.cs,0.06521739130434782,6,1,4,2
4393,32,baselines_work/cohorte/csharp/CODE_ESTRU_CS_013/CODE_ESTRU_CS_013.cs,49,baselines_work/cohorte/csharp/CODE_IDENT_CS_003_COPY/CODE_IDENT_CS_003.cs,0.06521739130434782,6,1,4,2
4429,28,baselines_work/cohorte/csharp/CODE_ESTRU_CS_014/CODE_ESTRU_CS_014.cs,37,baselines_work/cohorte/csharp/CODE_FUN_CS_011/CODE_FUN_CS_011.cs,0.049586776859504134,6,3,3,3
4430,28,baselines_work/cohorte/csharp/CODE_ESTRU_CS_014/CODE_ESTRU_CS_014.cs,41,baselines_work/cohorte/csharp/CODE_FUN_CS_012/CODE_FUN_CS_012.cs,0.05555555555555555,6,3,3,3
