id,hash,ignored,data,files
550,583929,false,,"[0,3,7,10]"
551,1642231,false,,"[0,9,5,7,10,16]"
552,8748764,false,,"[0,9,7]"
553,1867703,false,,"[0,9,7]"
554,568699,false,,[0]
555,7423641,false,,[0]
556,4845628,false,,[0]
557,3304750,false,,[0]
558,3866328,false,,[0]
559,4912041,false,,[0]
560,39969,false,,[0]
561,65506,false,,"[0,12,7,10]"
562,499081,false,,[0]
563,2280016,false,,"[0,5,10,16]"
564,1963537,false,,"[0,5,10,16]"
565,1998270,false,,[0]
566,3574537,false,,"[0,43]"
567,414750,false,,"[0,13]"
568,1032829,false,,[0]
569,1884495,true,,"[0,3,10,16,24,26,35,38,44,51,49,58,65,64,59,73,74]"
570,1839759,false,,"[0,12,37]"
571,387095,false,,[0]
572,1136146,false,,[0]
573,3731217,false,,[0]
574,1827951,false,,"[0,3]"
575,874841,false,,[0]
576,4449695,false,,[0]
577,5424132,false,,"[0,8,12,10,11,14]"
578,2172032,false,,"[0,8,12,10,11,14]"
579,835357,false,,"[0,5,13,10,16,14]"
580,1129379,false,,"[0,13,10,14]"
581,5018713,false,,[0]
582,4651972,false,,[0]
583,2170540,false,,[0]
584,2285008,true,,"[0,14,28,29,31,40,39,37,41,42,44,72,70]"
585,5725316,false,,"[0,12,13,11,36]"
586,2475464,false,,"[0,12,13,10,11,36,52,50]"
587,1942850,false,,"[0,12,13,10,11,36,52,50]"
588,1027326,false,,"[0,7,14]"
589,3039916,false,,[0]
590,4951651,false,,[0]
591,5977942,false,,[0]
592,6174495,false,,"[0,7,13,10,16]"
593,3559454,false,,"[0,12,7,13,10]"
594,3671602,false,,"[0,12,7,13,10]"
595,190303,false,,"[0,12,30,52,50]"
596,6157911,false,,"[0,30,52,50]"
597,2282088,false,,[0]
598,741262,false,,[0]
599,516354,false,,[0]
600,126079,false,,[0]
601,10700,false,,"[0,3]"
602,513970,false,,"[0,3,6]"
603,1200724,false,,[0]
604,4205117,false,,[0]
605,6789841,false,,[0]
606,7623080,false,,[0]
607,7801573,false,,[0]
608,567440,false,,[0]
609,2520101,false,,[0]
610,2926022,false,,"[0,30,52,50]"
611,3327288,false,,"[0,13,14,30]"
612,5017723,false,,"[0,14,30]"
613,722862,false,,"[0,14,30]"
614,1281317,false,,"[0,6,16,14,34,40,35,36]"
615,495043,false,,[0]
616,923013,false,,[0]
617,2799502,false,,[0]
618,3359757,false,,[0]
619,7299355,false,,[0]
620,10077285,false,,[0]
621,10313436,false,,[0]
622,7887591,false,,[0]
623,5830484,false,,[0]
624,1042611,false,,"[0,9,5,7]"
625,329204,false,,"[0,9,5,7]"
626,616353,false,,"[0,9,5,7]"
627,1728035,false,,[0]
628,6124732,false,,"[0,11]"
629,377571,false,,[0]
630,2812068,false,,"[0,13,16]"
631,2926620,false,,[0]
632,3398461,false,,[0]
633,1158873,false,,[0]
634,208745,false,,[0]
635,143061,false,,[0]
636,487710,false,,[0]
637,2028720,false,,[0]
638,2287062,true,,"[3,6,9,5,8,7,13,10,11,16,14,33,30,36,52,50]"
639,1010901,false,,"[3,6,9,36]"
640,2817603,false,,[3]
641,482409,false,,[3]
642,2667057,false,,[3]
643,2811955,false,,[3]
644,3135253,false,,[3]
645,4536920,false,,"[3,6]"
646,5336245,false,,[3]
647,7225236,false,,[3]
648,6676059,false,,[3]
649,2916904,false,,[3]
650,4685338,true,,"[3,6,9,15,20,19,21,18,22,25,32,29,31,34,40,35,36,38,46,48,51,49,53,54,60,55,56,57,58,65,66,68,69,71]"
651,2474848,false,,"[3,8,12,7]"
652,1702792,false,,[3]
653,8948773,false,,[3]
654,10280582,false,,[3]
655,5575890,false,,[3]
656,1318004,false,,"[3,9]"
657,1160921,false,,"[3,9]"
658,84645,false,,"[3,9,12,11,16]"
659,454223,false,,"[3,9,12,11,16]"
660,751242,false,,"[3,9,11]"
661,8205672,false,,[3]
662,5676130,false,,[3]
663,2253241,false,,[3]
664,4978070,false,,[3]
665,6082770,false,,[3]
666,4648176,false,,"[3,9,11]"
667,491528,false,,[3]
668,3125233,false,,[3]
669,3684939,false,,[3]
670,4797249,false,,"[3,8,12,10]"
671,2271798,false,,"[3,9,11]"
672,630530,false,,"[3,9,11]"
673,2505183,false,,"[3,9,11]"
674,934783,false,,[3]
675,3534150,false,,[3]
676,8694615,false,,[3]
677,90984,false,,[3]
678,605568,false,,"[3,7,10,36]"
679,2343255,false,,"[3,6,9,7,10,36,52,50]"
680,2043234,false,,[3]
681,1127687,false,,[3]
682,2113078,false,,[3]
683,1707448,false,,[3]
684,821580,false,,"[3,36]"
685,1141910,false,,[3]
686,5240627,false,,[3]
687,5579035,false,,[3]
688,6321660,false,,[3]
689,1184405,false,,[3]
690,186813,false,,"[3,6,13,30]"
691,879229,false,,[3]
692,9068262,false,,[3]
693,4541060,false,,"[3,14]"
694,3570169,true,,"[3,10,16,24,35,38,51,49,58,65,64,59]"
695,5597267,false,,"[3,5,13,10,14]"
696,5552385,false,,[3]
697,3927764,false,,[3]
698,3916673,false,,"[3,13]"
699,6151738,false,,[3]
700,11672889,false,,[3]
701,730746,false,,"[3,16,30]"
702,4618510,false,,"[3,9,12,13,11,17,33,30]"
703,264601,false,,"[6,9,5,17,47,45]"
704,2308790,false,,"[6,33]"
705,2637002,false,,"[6,33]"
706,4301784,false,,"[6,33]"
707,4509595,false,,[6]
708,8004616,false,,[6]
709,5107394,false,,[6]
710,1095406,false,,[6]
711,2987025,false,,[6]
712,4852997,false,,[6]
713,132638,false,,[6]
714,466348,false,,[6]
715,307599,false,,[6]
716,7338240,false,,"[6,9,7,10]"
717,2559926,false,,"[6,9,8,10,39,41]"
718,1257597,false,,"[6,7,36]"
719,3951878,false,,"[6,9,36]"
720,445560,false,,"[6,14]"
721,2900904,false,,[6]
722,2057100,false,,[6]
723,1233441,false,,"[6,36]"
724,1717551,false,,[6]
725,2721279,false,,[6]
726,2760659,false,,"[6,36]"
